DATE;Mapped_GCK;Sales_EUR
01.10.2018;#1;0
02.10.2018;#1;0
03.10.2018;#1;0
04.10.2018;#1;0
05.10.2018;#1;0
06.10.2018;#1;0
08.10.2018;#1;0
09.10.2018;#1;0
10.10.2018;#1;0
11.10.2018;#1;0
12.10.2018;#1;0
13.10.2018;#1;0
14.10.2018;#1;0
15.10.2018;#1;0
16.10.2018;#1;0
17.10.2018;#1;0
18.10.2018;#1;0
19.10.2018;#1;0
04.08.2021;#11;0
24.08.2021;#11;0
04.08.2021;#6;0
20.10.2018;#1;0
22.10.2018;#1;0
23.10.2018;#1;0
06.08.2021;#8;0
07.02.2022;#12;0
24.10.2018;#1;1702929,21
25.10.2018;#1;0
26.10.2018;#1;0
27.10.2018;#1;0
28.10.2018;#1;0
20.08.2021;#16;111107,38
17.08.2021;#16;3685
18.08.2021;#11;0
25.08.2021;#6;0
05.08.2021;#6;0
26.08.2021;#4;0
17.08.2021;#5;0
02.08.2021;#5;0
04.08.2021;#5;0
11.08.2021;#3;0
25.08.2021;#3;0
15.08.2021;#3;0
29.10.2018;#1;974208,55
30.10.2018;#1;0
31.10.2018;#1;33421781,03
26.08.2021;#9;0
17.08.2021;#8;0
01.11.2018;#1;0
02.11.2018;#1;0
06.08.2021;#4;0
02.09.2021;#14;0
02.09.2021;#16;0
06.08.2021;#3;0
03.11.2018;#1;0
12.04.2022;#3;0
14.04.2022;#3;0
01.04.2022;#3;0
06.04.2022;#3;0
15.04.2022;#5;473123,84
22.04.2022;#5;713387,61
15.04.2022;#8;88600,71
05.11.2018;#1;0
06.11.2018;#1;0
02.04.2022;#13;0
07.11.2018;#1;0
29.04.2022;#9;1653
08.04.2022;#6;5990
12.04.2022;#14;0
01.04.2022;#9;0
06.04.2022;#20;0
15.04.2022;#13;11638,2
26.04.2022;#8;0
14.04.2022;#8;0
11.04.2022;#5;0
06.04.2022;#36;0
12.04.2022;#12;0
11.04.2022;#6;0
02.02.2022;#11;0
21.01.2022;#16;4048,5
20.01.2022;#6;0
31.01.2022;#6;39789,26
20.01.2022;#5;0
17.01.2022;#5;0
19.01.2022;#5;0
13.01.2022;#5;0
28.01.2022;#8;0
28.01.2022;#3;0
02.02.2022;#3;0
08.11.2018;#1;0
02.02.2022;#6;-54
11.04.2022;#16;6461,12
05.04.2022;#16;0
04.04.2022;#16;0
14.04.2022;#11;0
07.04.2022;#11;0
04.04.2022;#11;-587,59
01.04.2022;#6;0
14.04.2022;#6;0
11.04.2022;#4;0
30.04.2022;#5;0
05.04.2022;#3;0
02.12.2021;#3;-183,5
06.12.2021;#3;0
08.12.2021;#5;0
16.12.2021;#5;0
17.12.2021;#36;42353,34
27.12.2021;#5;0
09.11.2018;#1;1195598,86
16.12.2021;#13;0
10.11.2018;#1;0
12.11.2018;#1;0
17.12.2021;#12;230316,12
30.12.2021;#9;2390
03.01.2022;#13;7619,4
14.12.2021;#5;0
13.12.2021;#8;0
14.12.2021;#12;0
03.12.2021;#5;0
10.12.2021;#12;4070
18.03.2022;#16;21333,28
09.03.2022;#16;0
13.11.2018;#1;0
14.11.2018;#1;0
15.11.2018;#1;0
16.11.2018;#1;751226,03
17.11.2018;#1;0
19.11.2018;#1;0
04.03.2022;#12;0
23.03.2022;#16;0
02.03.2022;#6;-93,88
29.03.2022;#6;20469,21
09.03.2022;#6;0
04.03.2022;#6;0
14.03.2022;#6;0
31.03.2022;#4;120921,75
15.03.2022;#4;0
07.03.2022;#4;0
16.03.2022;#4;0
07.03.2022;#5;0
09.03.2022;#5;0
22.03.2022;#5;0
07.03.2022;#3;0
14.03.2022;#3;0
22.03.2022;#3;0
11.03.2022;#9;4452,6
11.03.2022;#20;113,16
10.03.2022;#14;0
24.03.2022;#16;14046,1
11.03.2022;#36;700,8
24.03.2022;#5;2902155,41
07.05.2021;#16;0
27.05.2021;#11;640579,4
18.05.2021;#11;0
10.05.2021;#11;0
03.05.2021;#5;-166,24
31.05.2021;#3;1362989,79
01.06.2021;#6;0
04.05.2021;#5;-26833,17
11.05.2021;#5;0
17.05.2021;#3;0
26.05.2021;#3;0
20.11.2018;#1;0
21.11.2018;#1;0
22.11.2018;#1;0
23.11.2018;#1;1260186,25
24.11.2018;#1;0
04.05.2021;#13;0
27.05.2021;#12;134111,5
25.05.2021;#12;0
06.05.2021;#13;0
27.05.2021;#8;264645,41
06.05.2021;#8;0
19.05.2021;#8;0
06.05.2021;#3;0
05.05.2021;#9;0
28.02.2022;#11;0
21.02.2022;#16;0
16.02.2022;#6;0
22.02.2022;#6;0
03.02.2022;#6;0
22.02.2022;#4;0
07.02.2022;#5;0
14.02.2022;#3;0
03.02.2022;#3;0
18.02.2022;#13;1009,5
02.02.2022;#14;0
18.02.2022;#20;348
02.02.2022;#20;0
11.02.2022;#9;930
28.02.2022;#14;3000
01.02.2022;#13;0
16.02.2022;#8;0
03.02.2022;#8;0
17.02.2022;#12;-2800
19.02.2022;#12;0
07.12.2021;#36;0
17.12.2021;#11;0
03.01.2022;#11;-20674,27
20.12.2021;#6;0
17.12.2021;#4;61028,84
13.12.2021;#4;0
14.07.2021;#16;9079,26
22.07.2021;#16;0
20.07.2021;#16;0
15.04.2021;#16;0
30.04.2021;#11;0
01.04.2021;#11;0
16.04.2021;#11;49965
19.04.2021;#6;0
14.04.2021;#6;0
07.04.2021;#4;0
09.04.2021;#4;0
29.04.2021;#5;0
14.04.2021;#4;0
20.04.2021;#5;0
07.04.2021;#5;1
26.04.2021;#3;0
08.04.2021;#3;0
26.11.2018;#1;0
27.11.2018;#1;0
28.11.2018;#1;640685,97
29.11.2018;#1;0
15.04.2021;#12;0
26.04.2021;#12;0
08.04.2021;#12;0
23.02.2022;#12;0
11.02.2022;#12;122307,3
30.11.2018;#1;1293062,89
01.12.2018;#1;0
03.12.2018;#1;35698229,74
04.12.2018;#1;-226731,5
05.12.2018;#1;0
06.12.2018;#1;0
07.12.2018;#1;0
08.12.2018;#1;0
20.09.2021;#16;0
14.09.2021;#16;0
13.09.2021;#11;29790
04.10.2021;#11;0
17.09.2021;#11;0
27.09.2021;#11;0
23.09.2021;#16;9245
28.09.2021;#3;3513759,92
23.09.2021;#6;478605,93
17.09.2021;#6;36167,54
23.09.2021;#4;38759,14
23.09.2021;#3;2644447,36
27.09.2021;#3;0
07.09.2021;#3;0
04.10.2021;#3;-2984,29
18.09.2021;#3;0
10.12.2018;#1;0
11.12.2018;#1;0
12.12.2018;#1;0
30.09.2021;#14;-6685,35
08.09.2021;#12;0
30.09.2021;#12;950
01.10.2021;#12;13838
17.09.2021;#9;12
16.09.2021;#14;0
22.04.2021;#8;0
19.04.2021;#9;0
07.04.2021;#9;0
21.04.2021;#8;0
08.04.2021;#8;0
28.04.2021;#20;1584
03.03.2020;#16;0
24.03.2020;#5;1270292,96
27.03.2020;#36;7825,42
09.03.2020;#6;0
06.03.2020;#4;0
09.03.2020;#4;0
10.03.2020;#5;0
01.04.2020;#5;1106,5
23.03.2020;#5;0
06.03.2020;#5;0
03.03.2020;#5;-113729,56
02.03.2020;#3;-476,1
26.03.2020;#3;0
23.03.2020;#3;0
30.03.2020;#3;0
21.03.2020;#3;0
21.02.2020;#16;1030
21.02.2020;#3;2279234,95
26.02.2020;#3;2319662,86
03.03.2020;#6;0
18.02.2020;#6;0
24.02.2020;#6;0
20.02.2020;#4;0
21.02.2020;#5;202549,69
11.02.2020;#5;0
10.02.2020;#5;0
03.02.2020;#5;-49551,72
24.02.2020;#5;0
27.02.2020;#3;0
17.02.2020;#3;0
03.02.2020;#3;0
12.02.2020;#3;0
25.02.2020;#20;0
13.12.2018;#1;0
14.12.2018;#1;1040980,59
15.12.2018;#1;0
26.02.2020;#14;6750
18.02.2020;#12;0
17.02.2020;#12;0
25.02.2020;#12;0
27.02.2020;#13;0
27.02.2020;#12;0
21.02.2020;#36;3150
24.02.2020;#8;0
03.03.2020;#8;0
17.04.2019;#16;0
12.04.2019;#16;20356,56
05.04.2019;#16;6881,84
30.04.2019;#11;0
12.04.2019;#5;1789495,73
30.04.2019;#5;1327636,84
02.04.2019;#11;0
26.04.2019;#16;50852
29.04.2019;#6;0
04.05.2019;#6;0
24.04.2019;#6;0
03.04.2019;#4;0
02.05.2019;#4;0
17.04.2019;#5;0
24.04.2019;#5;0
04.04.2019;#3;0
02.04.2019;#3;-254,3
09.04.2019;#3;0
04.05.2019;#3;0
10.04.2019;#3;0
03.05.2019;#3;0
17.12.2018;#1;0
18.12.2018;#1;526573,12
06.10.2021;#3;6228,3
19.12.2018;#1;0
15.02.2020;#8;0
03.04.2019;#36;0
16.04.2019;#11;0
02.05.2019;#12;24468
26.02.2021;#16;7180
25.03.2021;#16;86142,2
16.03.2021;#5;0
29.03.2021;#5;3373536,46
12.03.2021;#36;-360
10.03.2021;#36;0
11.03.2021;#11;0
23.03.2021;#11;0
01.03.2021;#11;0
25.03.2021;#3;1885501,05
15.03.2021;#6;0
05.03.2021;#6;0
08.03.2021;#4;0
11.03.2021;#4;0
26.03.2021;#4;0
18.03.2021;#5;0
11.03.2021;#5;0
24.03.2021;#3;0
04.03.2021;#3;0
08.03.2021;#3;0
22.03.2021;#20;0
23.03.2021;#9;0
25.03.2021;#12;29652,5
09.03.2021;#12;0
19.03.2021;#13;1089,35
23.06.2021;#16;0
24.06.2021;#11;0
05.06.2021;#11;0
18.06.2021;#11;0
23.06.2021;#5;1308253,15
